customer_id,booking_id,from_city,from_country,to_city,to_country,booking_time,device_type_used,INR_Amount,service_name,no_of_passengers,days_to_departure,distance_km
customer_259,booking_82,Gurgaon,India,Ahmedabad,India,2020-02-05T16:12:08Z,Desktop,2565.28,MMT,1.0,10.0,747.8
customer_303,booking_156,Delhi,India,Brussels,Belgium,2018-11-21T08:21:47Z,Android,23120.0,YATRA,1.0,1.0,6701.5
customer_203,booking_99,Devanhalli,India,Frankfurt am Main,Germany,2019-12-16T22:54:58Z,Android,25717.6,YATRA,1.0,32.0,7712.0
customer_211,booking_319,Gurgaon,India,Frankfurt am Main,Germany,2021-10-29T12:25:38Z,Desktop,135969.6,GOIBIBO,2.0,69.0,6112.5
customer_287,booking_222,Gurgaon,India,Roissy-en-France,France,2020-08-11T16:09:10Z,Android,31791.2,GOIBIBO,1.0,3.0,6570.4
customer_99,booking_241,Gurgaon,India,Roissy-en-France,France,2021-04-13T16:12:34Z,IOS,21843.2,GOIBIBO,1.0,11.0,6570.4
customer_28,booking_129,Kolkata,India,Gurgaon,India,2022-02-16T15:50:27Z,Desktop,13442.4,GOIBIBO,1.0,13.0,1310.7
customer_217,booking_18,Bhubaneswar,India,Durlaga,India,2021-09-10T19:09:12Z,Desktop,4352.0,GOIBIBO,2.0,47.0,260.5
customer_161,booking_136,Gurgaon,India,Amsterdam,Netherlands,2022-03-14T15:05:23Z,Desktop,64316.8,MMT,1.0,86.0,6354.9
customer_150,booking_289,Delhi,India,Hamburg,Germany,2018-09-25T18:29:22Z,Desktop,47974.93,YATRA,1.0,17.0,6275.7
customer_111,booking_141,Gurgaon,India,Berlin,Germany,2019-10-10T19:53:03Z,Desktop,28788.0,YATRA,1.0,8.0,6008.3
customer_178,booking_133,Mumbai,India,Paris,France,2021-02-27T19:26:11Z,MobileWeb,92544.0,GOIBIBO,3.0,7.0,7010.2
customer_197,booking_154,Delhi,India,Fiumicino,Italy,2018-12-01T21:38:40Z,Desktop,22160.0,YATRA,1.0,6.0,6082.6
customer_282,booking_212,Indore,India,Mumbai,India,2021-10-16T07:56:59Z,IOS,4725.6,GOIBIBO,1.0,0.0,506.2
customer_43,booking_101,Mumbai,India,Zaventem,Belgium,2020-01-18T06:46:09Z,IOS,31588.0,GOIBIBO,1.0,19.0,7166.5
customer_271,booking_105,Mumbai,India,London,United Kingdom,2019-09-02T10:36:27Z,IOS,22599.88,YATRA,1.0,16.0,7544.3
customer_179,booking_218,Gurgaon,India,Port Blair,India,2020-01-12T17:34:59Z,Desktop,17804.8,MMT,2.0,35.0,2486.8
customer_7,booking_132,Devanhalli,India,Gurgaon,India,2021-04-14T18:20:41Z,Desktop,4330.28,MMT,1.0,8.0,1694.7
customer_210,booking_91,Gurgaon,India,Prague,Czechia,2019-12-26T00:55:55Z,Desktop,29786.14,GOIBIBO,1.0,40.0,5901.3
customer_269,booking_285,Hyderabad,India,San Francisco,USA,2020-10-15T13:36:14Z,Desktop,86960.48,YATRA,1.0,22.0,13505.2
customer_114,booking_46,Delhi,India,Rome,Italy,2018-12-20T11:45:59Z,Desktop,23200.0,YATRA,1.0,1.0,6059.1
customer_78,booking_206,Gurgaon,India,Lucknow,India,2021-10-21T08:16:05Z,Desktop,4612.8,GOIBIBO,1.0,3.0,422.0
customer_229,booking_280,Gurgaon,India,Milan,Italy,2020-02-11T05:46:16Z,MobileWeb,28513.6,YATRA,1.0,0.0,6316.8
customer_227,booking_97,Mumbai,India,Gurgaon,India,2020-11-08T18:47:31Z,Android,32929.6,YATRA,3.0,5.0,1125.5
customer_179,booking_157,Mumbai,India,Jaipur,India,2020-01-23T13:58:39Z,Desktop,6953.6,GOIBIBO,1.0,15.0,921.8
customer_188,booking_184,Rāja Sānsi,India,Glasgow,United Kingdom,2020-01-31T19:48:03Z,Android,44276.57,GOIBIBO,1.0,10.0,6890.3
customer_25,booking_81,Rāja Sānsi,India,London,United Kingdom,2018-11-07T19:38:04Z,Desktop,69568.01,YATRA,2.0,9.0,6606.1
customer_68,booking_301,Madhyamgram,India,London,United Kingdom,2020-01-05T23:02:52Z,Desktop,61125.76,YATRA,2.0,16.0,8483.8
customer_42,booking_188,Chennai,India,Munich,Germany,2021-11-15T11:18:10Z,MobileWeb,40652.8,GOIBIBO,1.0,59.0,7352.9
customer_247,booking_119,Gurgaon,India,Fiumicino,Italy,2021-11-08T15:50:49Z,Android,21788.0,GOIBIBO,1.0,25.0,5932.6
customer_22,booking_134,New Delhi,India,Hamburg,Germany,2018-10-04T06:57:27Z,MobileWeb,19859.2,YATRA,1.0,12.0,6277.0
customer_40,booking_121,Bālāpur,India,Dubai,United Arab Emirates,2018-09-11T14:08:05Z,Desktop,39829.6,YATRA,1.0,1.0,2558.6
customer_89,booking_226,Varanasi,India,Pune,India,2021-06-22T18:19:48Z,Desktop,10962.21,GOIBIBO,1.0,12.0,1208.9
customer_92,booking_249,Gurgaon,India,Rozenburg,Netherlands,2019-06-14T19:12:06Z,Desktop,36480.0,YATRA,1.0,16.0,6672.6
customer_268,booking_58,Gurgaon,India,Jodhpur,India,2021-12-12T22:58:25Z,IOS,5956.77,GOIBIBO,2.0,24.0,475.0
customer_261,booking_181,Ahmedabad,India,Gurgaon,India,2021-11-13T08:08:46Z,Desktop,5791.76,GOIBIBO,1.0,6.0,760.6
customer_183,booking_197,Jaipur,India,Gurgaon,India,2020-02-10T15:16:06Z,IOS,10287.4,GOIBIBO,2.0,2.0,210.3
customer_147,booking_23,Rāja Sānsi,India,Fiumicino,Italy,2018-09-29T19:37:19Z,Android,23884.8,YATRA,1.0,4.0,5686.1
customer_174,booking_76,Ahmedabad,India,London,United Kingdom,2020-02-06T13:54:26Z,Android,31940.8,GOIBIBO,1.0,2.0,7173.4
customer_248,booking_8,Gurgaon,India,Roissy-en-France,France,2019-06-30T12:26:58Z,Tablet,23280.0,YATRA,1.0,171.0,6854.8
customer_39,booking_74,Thiruvananthapuram,India,Riga,Latvia,2018-09-29T13:53:17Z,Android,47954.4,YATRA,1.0,27.0,7311.2
customer_193,booking_192,Rāja Sānsi,India,Fiumicino,Italy,2018-09-24T15:07:04Z,Android,30346.4,YATRA,1.0,3.0,5686.1
customer_137,booking_88,Gurgaon,India,Birmingham,United Kingdom,2019-12-22T08:49:25Z,IOS,46142.4,YATRA,1.0,19.0,7190.9
customer_222,booking_159,Gurgaon,India,Paris,France,2019-10-04T14:02:38Z,Desktop,18852.8,GOIBIBO,1.0,5.0,6869.5
customer_274,booking_275,Mumbai,India,Frankfurt am Main,Germany,2020-07-01T21:59:27Z,IOS,41838.4,GOIBIBO,1.0,16.0,6564.3
customer_66,booking_78,Gurgaon,India,Frankfurt am Main,Germany,2021-08-29T18:39:56Z,IOS,26336.0,GOIBIBO,1.0,49.0,6112.5
customer_228,booking_176,Devanhalli,India,Frankfurt am Main,Germany,2022-01-14T05:54:40Z,Desktop,22368.8,GOIBIBO,1.0,33.0,7401.2
customer_109,booking_114,Jaipur,India,Mumbai,India,2019-12-10T09:57:11Z,Desktop,10894.4,GOIBIBO,1.0,13.0,921.8
customer_49,booking_56,Gurgaon,India,Roissy-en-France,France,2021-10-11T05:01:16Z,IOS,22013.6,GOIBIBO,1.0,1.0,6564.2
customer_128,booking_66,Gurgaon,India,Milan,Italy,2020-11-12T15:10:03Z,Android,33551.2,GOIBIBO,1.0,14.0,6125.7
customer_272,booking_230,Gurgaon,India,Beijing,China,2019-12-04T20:55:24Z,Desktop,26103.78,GOIBIBO,1.0,47.0,3838.7
customer_141,booking_106,Delhi,India,Edinburgh,United Kingdom,2020-01-21T05:51:09Z,MobileWeb,32372.8,GOIBIBO,1.0,7.0,7277.4
customer_23,booking_310,New Delhi,India,Villafranca di Verona,Italy,2018-10-06T14:32:45Z,MobileWeb,16996.8,YATRA,2.0,3.0,6181.7
customer_61,booking_109,Gurgaon,India,Amsterdam,Netherlands,2018-09-04T16:45:23Z,Desktop,18096.0,YATRA,1.0,108.0,6660.7
customer_18,booking_165,Mumbai,India,Nagpur,India,2020-02-24T12:03:11Z,Desktop,4148.0,MMT,1.0,5.0,689.1
customer_245,booking_215,Pune,India,Nagpur,India,2020-01-28T16:48:38Z,Android,7241.46,MMT,1.0,7.0,621.7
customer_119,booking_12,Mumbai,India,Gurgaon,India,2021-01-03T18:39:55Z,Desktop,4182.94,MMT,1.0,4.0,1125.5
customer_285,booking_42,Gurgaon,India,Lucknow,India,2020-01-06T20:51:06Z,Desktop,4072.4,MMT,1.0,7.0,424.0
customer_132,booking_5,Delhi,India,Dubai,United Arab Emirates,2020-11-21T17:08:00Z,Desktop,9266.03,YATRA,1.0,4.0,2202.3
customer_138,booking_186,Gurgaon,India,Frankfurt am Main,Germany,2021-03-18T17:18:40Z,IOS,34980.8,GOIBIBO,1.0,8.0,6114.5
customer_26,booking_110,Thiruvananthapuram,India,Frankfurt am Main,Germany,2022-01-14T14:46:21Z,Desktop,46818.4,GOIBIBO,1.0,9.0,7740.7
customer_131,booking_71,Devanhalli,India,Mumbai,India,2021-09-21T12:11:16Z,Android,4534.4,GOIBIBO,1.0,17.0,833.7
customer_207,booking_214,Gurgaon,India,Floris,USA,2018-10-14T14:56:27Z,Desktop,35288.8,YATRA,1.0,3.0,14334.7
customer_280,booking_100,Gurgaon,India,Paris,France,2021-07-01T09:22:13Z,IOS,27328.8,GOIBIBO,1.0,31.0,6583.3
customer_184,booking_293,New Delhi,India,Milan,Italy,2018-10-06T02:06:14Z,Android,21000.8,YATRA,1.0,1.0,6321.1
customer_246,booking_25,Delhi,India,Paris,France,2022-05-25T11:55:16Z,IOS,33216.0,GOIBIBO,1.0,9.0,6585.3
customer_72,booking_256,Gurgaon,India,Vizzola Ticino,Italy,2019-12-13T18:59:13Z,Android,27562.4,GOIBIBO,1.0,8.0,6358.7
customer_251,booking_204,Delhi,India,Vizzola Ticino,Italy,2018-10-22T13:35:48Z,Desktop,21839.2,YATRA,1.0,5.0,6362.0
customer_82,booking_72,Chennai,India,Roissy-en-France,France,2021-05-18T13:17:38Z,Android,21573.6,GOIBIBO,1.0,12.0,8023.8
customer_208,booking_33,Mumbai,India,Chicalim,India,2020-02-14T15:01:05Z,IOS,4395.01,GOIBIBO,1.0,1.0,420.7
customer_56,booking_236,Gurgaon,India,Mumbai,India,2019-12-20T15:56:47Z,Android,6901.6,GOIBIBO,1.0,1.0,1125.8
customer_117,booking_163,Gurgaon,India,Barcelona,Spain,2022-03-30T20:13:00Z,MobileWeb,62355.2,MMT,1.0,311.0,6765.0
customer_292,booking_196,Gurgaon,India,Kochi,India,2020-02-07T10:27:20Z,Desktop,6829.9,MMT,1.0,7.0,2060.9
customer_215,booking_146,Mumbai,India,Gurgaon,India,2021-01-05T18:33:31Z,Desktop,3865.09,MMT,1.0,6.0,1125.5
customer_284,booking_329,Pune,India,Gurgaon,India,2021-01-14T19:29:52Z,Desktop,4567.55,MMT,1.0,6.0,1151.5
customer_146,booking_86,Gurgaon,India,Fiumicino,Italy,2020-02-11T14:42:36Z,Android,29333.6,YATRA,1.0,13.0,6076.8
customer_59,booking_43,Kolkata,India,Kathmandu,Nepal,2020-02-08T18:16:26Z,MobileWeb,9488.0,YATRA,1.0,24.0,648.3
customer_129,booking_246,Gurgaon,India,Vizzola Ticino,Italy,2019-12-13T11:56:21Z,IOS,53844.8,GOIBIBO,2.0,6.0,6358.7
customer_243,booking_225,Chicalim,India,Roissy-en-France,France,2020-03-20T09:58:05Z,Desktop,78060.0,GOIBIBO,1.0,1.0,7680.4
customer_116,booking_137,Ahmedabad,India,Frankfurt am Main,Germany,2019-10-07T15:49:42Z,Desktop,24212.8,GOIBIBO,1.0,8.0,6454.6
customer_97,booking_257,Dharamsala,India,Gurgaon,India,2021-10-10T13:01:00Z,IOS,6863.2,GOIBIBO,1.0,3.0,416.6
customer_176,booking_2,Barelā,India,Gurgaon,India,2022-01-12T15:36:09Z,IOS,13067.2,GOIBIBO,3.0,3.0,666.7
customer_234,booking_294,Delhi,India,New York,USA,2018-11-17T15:58:52Z,IOS,15520.0,MMT,1.0,22.0,13893.2
customer_279,booking_305,Mumbai,India,Istanbul,Turkey,2020-02-13T09:29:18Z,IOS,22466.51,GOIBIBO,1.0,18.0,4882.1
customer_101,booking_63,Gurgaon,India,Varanasi,India,2021-12-31T09:39:33Z,IOS,6050.63,GOIBIBO,1.0,12.0,687.6
customer_155,booking_261,Jaipur,India,Agra,India,2020-01-24T08:28:21Z,IOS,2008.0,GOIBIBO,1.0,11.0,222.7
customer_37,booking_169,Gurgaon,India,Agartala,India,2022-01-05T21:47:05Z,Android,7996.45,GOIBIBO,1.0,3.0,1501.4
customer_73,booking_10,Gurgaon,India,Agartala,India,2022-03-09T22:26:56Z,IOS,8071.2,GOIBIBO,1.0,3.0,1501.4
customer_201,booking_288,Thrissur,India,Thiruvananthapuram,India,2019-12-20T13:36:57Z,IOS,12987.82,GOIBIBO,3.0,0.0,237.8
customer_44,booking_69,Gurgaon,India,Rāja Sānsi,India,2021-09-28T18:55:25Z,Android,4700.0,GOIBIBO,1.0,3.0,414.6
customer_202,booking_272,Gurgaon,India,Ahmedabad,India,2020-02-07T10:53:55Z,Desktop,7422.19,GOIBIBO,1.0,9.0,747.8
customer_95,booking_245,Mumbai,India,Gurgaon,India,2020-01-07T19:26:11Z,Desktop,7053.6,GOIBIBO,1.0,3.0,1125.8
customer_177,booking_259,Chennai,India,Frankfurt am Main,Germany,2021-11-15T19:24:40Z,IOS,27212.8,GOIBIBO,1.0,13.0,7586.2
customer_165,booking_167,Gurgaon,India,Lisbon,Portugal,2021-10-02T23:28:29Z,Android,71434.4,GOIBIBO,2.0,97.0,7770.2
customer_262,booking_95,Ahmedabad,India,Chicalim,India,2021-01-07T05:25:37Z,Desktop,3919.3,MMT,1.0,49.0,858.3
customer_122,booking_338,New Delhi,India,Geneva,Switzerland,2018-12-21T20:47:44Z,IOS,60556.8,YATRA,2.0,44.0,6574.0
customer_55,booking_94,Mumbai,India,London,United Kingdom,2018-10-08T16:58:22Z,Tablet,19642.02,YATRA,1.0,2.0,7544.3
customer_142,booking_325,Gurgaon,India,Frankfurt am Main,Germany,2021-08-04T08:49:05Z,Android,39012.0,GOIBIBO,1.0,30.0,6112.5
customer_298,booking_290,Devanhalli,India,Frankfurt am Main,Germany,2019-09-13T13:16:24Z,Android,27282.4,GOIBIBO,1.0,14.0,7712.0
customer_121,booking_21,Delhi,India,Fiumicino,Italy,2018-10-02T09:43:04Z,Desktop,20740.0,YATRA,1.0,3.0,6082.6
customer_282,booking_189,Mumbai,India,Chicalim,India,2021-09-04T02:13:37Z,IOS,4616.0,GOIBIBO,1.0,1.0,425.1
customer_97,booking_143,Delhi,India,Yol,India,2021-09-13T11:40:31Z,MobileWeb,4856.8,GOIBIBO,1.0,10.0,401.3
customer_140,booking_284,Gurgaon,India,Paris,France,2020-03-19T01:35:22Z,Desktop,49136.8,GOIBIBO,1.0,1.0,6869.5
customer_112,booking_244,Chennai,India,Nice,France,2019-12-30T05:50:45Z,Android,41744.0,GOIBIBO,1.0,9.0,7911.7
customer_263,booking_50,Chennai,India,Paris,France,2021-09-10T03:46:34Z,MobileWeb,64051.2,GOIBIBO,4.0,24.0,8036.0
customer_233,booking_233,Gurgaon,India,Paris,France,2019-07-25T09:57:09Z,IOS,25680.0,GOIBIBO,1.0,7.0,6869.5
customer_219,booking_335,Gurgaon,India,Frankfurt am Main,Germany,2021-10-10T18:38:50Z,Desktop,102966.4,GOIBIBO,2.0,114.0,6112.5
customer_11,booking_331,Bālāpur,India,Frankfurt am Main,Germany,2021-10-07T17:20:42Z,Desktop,44094.4,GOIBIBO,1.0,29.0,7109.2
customer_283,booking_220,Delhi,India,Milan,Italy,2018-10-14T14:51:03Z,Desktop,22280.8,YATRA,1.0,13.0,6320.2
