session_id,search_id,search_time,session_starting_time,booking_id
session_322,search_784,2020-01-21T21:35:38.910Z,2020-01-21T21:10:12Z,
session_322,search_776,2020-01-21T21:37:37.697Z,2020-01-21T21:10:12Z,
session_322,search_623,2020-01-21T21:36:11.392Z,2020-01-21T21:10:12Z,
session_322,search_270,2020-01-21T21:16:07.685Z,2020-01-21T21:10:12Z,
session_322,search_905,2020-01-21T21:34:55.673Z,2020-01-21T21:10:12Z,
session_322,search_506,2020-01-21T21:10:58.482Z,2020-01-21T21:10:12Z,booking_54
session_283,search_880,2020-01-21T05:33:48.061Z,2020-01-21T05:33:33.559Z,booking_106
session_194,search_312,2019-09-05T09:04:40.423Z,2019-09-05T09:04:32Z,booking_1
session_52,search_1227,2020-01-20T16:54:07.232Z,2020-01-20T16:53:47.477Z,
session_52,search_1110,2020-01-20T17:03:52.145Z,2020-01-20T16:53:47.477Z,booking_282
session_229,search_420,2019-09-07T22:23:15.942Z,2019-09-07T22:00:05Z,
session_229,search_292,2019-09-07T22:25:06.214Z,2019-09-07T22:00:05Z,
session_229,search_403,2019-09-07T22:00:15.256Z,2019-09-07T22:00:05Z,
session_229,search_695,2019-09-07T22:29:05.439Z,2019-09-07T22:00:05Z,booking_240
session_229,search_808,2019-09-07T22:22:19.052Z,2019-09-07T22:00:05Z,
session_229,search_445,2019-09-07T22:22:06.473Z,2019-09-07T22:00:05Z,
session_126,search_1140,2022-05-12T13:01:19Z,2022-05-12T13:01:12Z,booking_67
session_308,search_91,2018-11-09T12:41:01.242Z,2018-11-09T12:01:22.094Z,
session_308,search_44,2018-11-09T12:01:42.152Z,2018-11-09T12:01:22.094Z,
session_308,search_1291,2018-11-09T12:34:38.162Z,2018-11-09T12:01:22.094Z,
session_308,search_91,2018-11-09T12:41:01.242Z,2018-11-09T12:01:22.094Z,
session_308,search_4,2018-11-09T12:02:36.301Z,2018-11-09T12:01:22.094Z,booking_52
session_308,search_91,2018-11-09T12:41:01.242Z,2018-11-09T12:01:22.094Z,
